0.0,{'lx': 127, 'rsr': 0, 'ly': 127, 'zr': 0, 'ry': 127, 'sbr': 0, 'y': 0, 'dr': 0, 'cap': 0, 'lsl': 0, 'rsl': 0, 'sbl': 0, 'zl': 0, '+': 0, 'x': 0, 'du': 0, 'dl': 0, 'lsr': 0, 'rs': 0, 'syncl': 0, 'b': 0, '-': 0, 'a': 0, 'dd': 0, 'h': 0, 'ls': 0, 'rx': 127, 'syncr': 0}
0.005013,{'lx': 127, 'rsr': 0, 'ly': 127, 'zr': 0, 'ry': 127, 'sbr': 0, 'y': 0, 'dr': 0, 'cap': 0, 'lsl': 0, 'rsl': 0, 'sbl': 0, 'zl': 0, '+': 0, 'x': 0, 'du': 0, 'dl': 0, 'lsr': 0, 'rs': 0, 'syncl': 0, 'b': 0, '-': 0, 'a': 0, 'dd': 0, 'h': 0, 'ls': 0, 'rx': 127, 'syncr': 0}
0.010029,{'lx': 127, 'rsr': 0, 'ly': 127, 'zr': 0, 'ry': 127, 'sbr': 0, 'y': 0, 'dr': 0, 'cap': 0, 'lsl': 0, 'rsl': 0, 'sbl': 0, 'zl': 0, '+': 0, 'x': 0, 'du': 0, 'dl': 0, 'lsr': 0, 'rs': 0, 'syncl': 0, 'b': 0, '-': 0, 'a': 0, 'dd': 0, 'h': 0, 'ls': 0, 'rx': 127, 'syncr': 0}
0.015541,{'lx': 127, 'rsr': 0, 'ly': 127, 'zr': 0, 'ry': 127, 'sbr': 0, 'y': 0, 'dr': 0, 'cap': 0, 'lsl': 0, 'rsl': 0, 'sbl': 0, 'zl': 0, '+': 0, 'x': 0, 'du': 0, 'dl': 0, 'lsr': 0, 'rs': 0, 'syncl': 0, 'b': 0, '-': 0, 'a': 0, 'dd': 0, 'h': 0, 'ls': 0, 'rx': 127, 'syncr': 0}
0.020555,{'lx': 127, 'rsr': 0, 'ly': 127, 'zr': 0, 'ry': 127, 'sbr': 0, 'y': 0, 'dr': 0, 'cap': 0, 'lsl': 0, 'rsl': 0, 'sbl': 0, 'zl': 0, '+': 0, 'x': 0, 'du': 0, 'dl': 0, 'lsr': 0, 'rs': 0, 'syncl': 0, 'b': 0, '-': 0, 'a': 0, 'dd': 0, 'h': 0, 'ls': 0, 'rx': 127, 'syncr': 0}
0.025570,{'lx': 127, 'rsr': 0, 'ly': 127, 'zr': 0, 'ry': 127, 'sbr': 0, 'y': 0, 'dr': 0, 'cap': 0, 'lsl': 0, 'rsl': 0, 'sbl': 0, 'zl': 0, '+': 0, 'x': 0, 'du': 0, 'dl': 0, 'lsr': 0, 'rs': 0, 'syncl': 0, 'b': 0, '-': 0, 'a': 0, 'dd': 0, 'h': 0, 'ls': 0, 'rx': 127, 'syncr': 0}
0.030581,{'lx': 127, 'rsr': 0, 'ly': 127, 'zr': 0, 'ry': 127, 'sbr': 0, 'y': 0, 'dr': 0, 'cap': 0, 'lsl': 0, 'rsl': 0, 'sbl': 0, 'zl': 0, '+': 0, 'x': 0, 'du': 0, 'dl': 0, 'lsr': 0, 'rs': 0, 'syncl': 0, 'b': 0, '-': 0, 'a': 0, 'dd': 0, 'h': 0, 'ls': 0, 'rx': 127, 'syncr': 0}
0.036072,{'lx': 127, 'rsr': 0, 'ly': 127, 'zr': 0, 'ry': 127, 'sbr': 0, 'y': 0, 'dr': 0, 'cap': 0, 'lsl': 0, 'rsl': 0, 'sbl': 0, 'zl': 0, '+': 0, 'x': 0, 'du': 0, 'dl': 0, 'lsr': 0, 'rs': 0, 'syncl': 0, 'b': 0, '-': 0, 'a': 0, 'dd': 0, 'h': 0, 'ls': 0, 'rx': 127, 'syncr': 0}
0.041110,{'lx': 127, 'rsr': 0, 'ly': 127, 'zr': 0, 'ry': 127, 'sbr': 0, 'y': 0, 'dr': 0, 'cap': 0, 'lsl': 0, 'rsl': 0, 'sbl': 0, 'zl': 0, '+': 0, 'x': 0, 'du': 0, 'dl': 0, 'lsr': 0, 'rs': 0, 'syncl': 0, 'b': 0, '-': 0, 'a': 0, 'dd': 0, 'h': 0, 'ls': 0, 'rx': 127, 'syncr': 0}
0.046600,{'lx': 127, 'rsr': 0, 'ly': 127, 'zr': 0, 'ry': 127, 'sbr': 0, 'y': 0, 'dr': 0, 'cap': 0, 'lsl': 0, 'rsl': 0, 'sbl': 0, 'zl': 0, '+': 0, 'x': 0, 'du': 0, 'dl': 0, 'lsr': 0, 'rs': 0, 'syncl': 0, 'b': 0, '-': 0, 'a': 0, 'dd': 0, 'h': 0, 'ls': 0, 'rx': 127, 'syncr': 0}
0.051613,{'lx': 127, 'rsr': 0, 'ly': 127, 'zr': 0, 'ry': 127, 'sbr': 0, 'y': 0, 'dr': 0, 'cap': 0, 'lsl': 0, 'rsl': 0, 'sbl': 0, 'zl': 0, '+': 0, 'x': 0, 'du': 0, 'dl': 0, 'lsr': 0, 'rs': 0, 'syncl': 0, 'b': 0, '-': 0, 'a': 0, 'dd': 0, 'h': 0, 'ls': 0, 'rx': 127, 'syncr': 0}
0.056655,{'lx': 127, 'rsr': 0, 'ly': 127, 'zr': 0, 'ry': 127, 'sbr': 0, 'y': 0, 'dr': 0, 'cap': 0, 'lsl': 0, 'rsl': 0, 'sbl': 0, 'zl': 0, '+': 0, 'x': 0, 'du': 0, 'dl': 0, 'lsr': 0, 'rs': 0, 'syncl': 0, 'b': 0, '-': 0, 'a': 0, 'dd': 0, 'h': 0, 'ls': 0, 'rx': 127, 'syncr': 0}
0.061668,{'lx': 127, 'rsr': 0, 'ly': 127, 'zr': 0, 'ry': 127, 'sbr': 0, 'y': 0, 'dr': 0, 'cap': 0, 'lsl': 0, 'rsl': 0, 'sbl': 0, 'zl': 0, '+': 0, 'x': 0, 'du': 0, 'dl': 0, 'lsr': 0, 'rs': 0, 'syncl': 0, 'b': 0, '-': 0, 'a': 0, 'dd': 0, 'h': 0, 'ls': 0, 'rx': 127, 'syncr': 0}
0.067182,{'lx': 127, 'rsr': 0, 'ly': 127, 'zr': 0, 'ry': 127, 'sbr': 0, 'y': 0, 'dr': 0, 'cap': 0, 'lsl': 0, 'rsl': 0, 'sbl': 0, 'zl': 0, '+': 0, 'x': 0, 'du': 0, 'dl': 0, 'lsr': 0, 'rs': 0, 'syncl': 0, 'b': 0, '-': 0, 'a': 0, 'dd': 0, 'h': 0, 'ls': 0, 'rx': 127, 'syncr': 0}
